title,location,size,price
5 Bed Villa with En Suite in Karen Hardy,Karen Hardy,5 bedrooms villa with a guest wing,250000.0
4 Bed Townhouse with En Suite at Kitisuru Rd,"Kitisuru Rd, Kitisuru, Westlands",4 Bedroom Townhouse for rent in Kitisuru Nairob...,400000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,Five bedroom all en suite townhouse for rent-le...,300000.0
4 Bed Townhouse with En Suite at Lavington,Lavington,4 bedroom townhouse for rent in Lavington Nairo...,350000.0
5 Bed House with En Suite in Lavington,Lavington,Executive 5 Bedroom for rent at Lavington.,400000.0
4 Bed House with En Suite at Runda Evergreen,"Runda Evergreen, Runda, Westlands",House to Rent in Runda,473550.0
4 Bed Townhouse with En Suite at Express Way,"Mombasa Road, Express Way",Exquisite 4Bedroom furnished villa for rent,300000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,4 bedroom townhouse for rent in Lavington in a...,350000.0
4 Bed Townhouse with En Suite in Githunguri,Githunguri,Modern Townhouses with Exquisite Finishes,105000.0
5 Bed Villa with En Suite in Lavington,Lavington,Lavington 5 bedrooms all ensuite villa plus sq...,350000.0
4 Bed House with En Suite in Karen,Karen,4 bedroom house for rent in Karen,220000.0
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Town Hse 4bd all ensuite DSQ t.v room atek stud...,150000.0
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 BEDROOM VILLA FOR RENT AT LOWER KABETE,500000.0
4 Bed Townhouse with En Suite at Muthaiga,Muthaiga,Newly Refurbished 4-bedroom Townhouse To Let in...,450000.0
3 Bed House with Garden in Kiserian,Kiserian,Kiserian | 3 Bedroom - To Let | Kshs. 30K Pm,30000.0
4 Bed Townhouse with En Suite at Muthaiga,Muthaiga,Newly Refurbished 4-bedroom Townhouse To Let in...,450000.0
4 Bed House with En Suite in Gikambura,"Gikambura, Kikuyu",Four Bedroom All En Suite Own Compound To Let I...,70000.0
5 Bed Townhouse with En Suite in Karen,Karen,5 BEDROOM TOWNHOUSE FOR RENT IN KAREN WITH DSQ,350000.0
3 Bed House with En Suite at Rosslyn,"Rosslyn, Westlands",ROSSYLN CHARMING 3-BEDROOM BUNGALOW FOR RENT. A...,330000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOM TOWNHOUSE FOR RENT IN LAVINGTON WITH...,300000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOM TOWNHOUSE FOR RENT WITH DSQ IN LAVING...,350000.0
3 Bed House with En Suite at Mukinduri Rd,"Mukinduri Rd, Karen",3 Bedrooms Cottage To Let in Karen,160000.0
5 Bed House with En Suite in Nyari,"Nyari, Westlands",Executive 5 Bedroom for rent at Nyari Westland.,430000.0
5 Bed Townhouse with En Suite in Runda,"Runda, Westlands",5 BEDROOM TOWNHOUSE FOR RENT IN RUNDA WITH 2DSQ...,380000.0
